item_name,color,category,material,reference_month,color_current,category_current,material_current,avg_current,season_plus_0,season_plus_1,season_plus_2,season_plus_3,season_plus_6,months_until_peak,months_since_peak,sin_month,cos_month,best_timeframe
Cotton Accessories #00000,beige,accessories,cotton,1,0.223759,0.083635,0.787792,0.365062,0.115889,0.224047,0.801594,0.383478,0.6988,9.0,3.0,0.5,0.866025,six_months
Cotton Accessories #00001,beige,accessories,cotton,2,0.223759,0.083635,0.787792,0.365062,0.224047,0.801594,0.383478,0.714911,0.384182,8.0,4.0,0.866025,0.5,six_months
Cotton Accessories #00002,beige,accessories,cotton,3,0.223759,0.083635,0.787792,0.365062,0.801594,0.383478,0.714911,0.441062,0.24323,7.0,5.0,1.0,0.0,six_months
Cotton Accessories #00003,beige,accessories,cotton,4,0.223759,0.083635,0.787792,0.365062,0.383478,0.714911,0.441062,0.6988,1.0,6.0,6.0,0.866025,-0.5,six_months
Cotton Accessories #00004,beige,accessories,cotton,5,0.223759,0.083635,0.787792,0.365062,0.714911,0.441062,0.6988,0.384182,0.292945,5.0,7.0,0.5,-0.866025,six_months
Cotton Accessories #00005,beige,accessories,cotton,6,0.223759,0.083635,0.787792,0.365062,0.441062,0.6988,0.384182,0.24323,0.121942,4.0,8.0,0.0,-1.0,three_months
Cotton Accessories #00006,beige,accessories,cotton,7,0.223759,0.083635,0.787792,0.365062,0.6988,0.384182,0.24323,1.0,0.115889,3.0,9.0,-0.5,-0.866025,three_months
Cotton Accessories #00007,beige,accessories,cotton,8,0.223759,0.083635,0.787792,0.365062,0.384182,0.24323,1.0,0.292945,0.224047,2.0,10.0,-0.866025,-0.5,next_month
Cotton Accessories #00008,beige,accessories,cotton,9,0.223759,0.083635,0.787792,0.365062,0.24323,1.0,0.292945,0.121942,0.801594,1.0,11.0,-1.0,-0.0,next_week
Cotton Accessories #00009,beige,accessories,cotton,10,0.223759,0.083635,0.787792,0.365062,1.0,0.292945,0.121942,0.115889,0.383478,0.0,0.0,-0.866025,0.5,current
Cotton Accessories #00010,beige,accessories,cotton,11,0.223759,0.083635,0.787792,0.365062,0.292945,0.121942,0.115889,0.224047,0.714911,11.0,1.0,-0.5,0.866025,six_months
Cotton Accessories #00011,beige,accessories,cotton,12,0.223759,0.083635,0.787792,0.365062,0.121942,0.115889,0.224047,0.801594,0.441062,10.0,2.0,-0.0,1.0,six_months
Leather Accessories #00024,beige,accessories,leather,1,0.223759,0.083635,0.139401,0.148932,0.511193,0.926462,0.893776,0.768595,0.93958,4.0,8.0,0.5,0.866025,three_months
Leather Accessories #00025,beige,accessories,leather,2,0.223759,0.083635,0.139401,0.148932,0.926462,0.893776,0.768595,1.0,0.953959,3.0,9.0,0.866025,0.5,three_months
Leather Accessories #00026,beige,accessories,leather,3,0.223759,0.083635,0.139401,0.148932,0.893776,0.768595,1.0,0.904195,0.420316,2.0,10.0,1.0,0.0,next_month
Leather Accessories #00027,beige,accessories,leather,4,0.223759,0.083635,0.139401,0.148932,0.768595,1.0,0.904195,0.93958,0.351838,1.0,11.0,0.866025,-0.5,next_week
Leather Accessories #00028,beige,accessories,leather,5,0.223759,0.083635,0.139401,0.148932,1.0,0.904195,0.93958,0.953959,0.278657,0.0,0.0,0.5,-0.866025,current
Leather Accessories #00029,beige,accessories,leather,6,0.223759,0.083635,0.139401,0.148932,0.904195,0.93958,0.953959,0.420316,0.253189,11.0,1.0,0.0,-1.0,six_months
Leather Accessories #00030,beige,accessories,leather,7,0.223759,0.083635,0.139401,0.148932,0.93958,0.953959,0.420316,0.351838,0.511193,10.0,2.0,-0.5,-0.866025,six_months
Leather Accessories #00031,beige,accessories,leather,8,0.223759,0.083635,0.139401,0.148932,0.953959,0.420316,0.351838,0.278657,0.926462,9.0,3.0,-0.866025,-0.5,six_months
Leather Accessories #00032,beige,accessories,leather,9,0.223759,0.083635,0.139401,0.148932,0.420316,0.351838,0.278657,0.253189,0.893776,8.0,4.0,-1.0,-0.0,six_months
