feature_type,feature_value,current
category,accessories,0.083635
category,dress,0.335118
category,outerwear,0.222715
category,pants,0.542952
category,shoes,0.19896
category,shorts,0.345562
category,skirt,0.133143
category,tops,0.700476
color,beige,0.223759
color,black,0.632381
color,blue,0.556913
color,brown,0.426698
color,gray,0.436792
color,green,0.264165
color,navy,0.464599
color,pink,0.269255
color,purple,0.15419
color,red,0.195807
color,white,0.568852
material,cotton,0.787792
material,denim,0.685824
material,knit,0.162334
material,leather,0.139401
material,linen,0.33887
material,polyester,0.20331
material,silk,0.183409
material,wool,0.168642
