feature_type,feature_value,current
color,black,1.0
color,white,0.959551
color,blue,0.323596
color,red,0.042697
color,green,0.213483
color,beige,0.094382
color,pink,0.348315
color,gray,0.903371
color,navy,0.631461
color,brown,0.58427
color,purple,0.01573
category,pants,0.446903
category,shorts,0.575221
category,skirt,0.00885
category,dress,0.256637
category,tops,1.0
category,outerwear,0.252212
category,shoes,0.05
category,accessories,0.05
material,cotton,1.0
material,denim,0.503185
material,linen,0.057325
material,silk,0.05
material,wool,0.089172
material,polyester,0.136943
material,leather,0.022293
material,knit,0.06051
