split,item_name,color,category,material,color_current,category_current,material_current,avg_current,best_timeframe
train,Polyester Tops #0000,navy,tops,polyester,0.165302,0.254515,0.750545,0.390121,next_month
train,Silk Shoes #0001,brown,shoes,silk,0.455347,0.107436,0.923628,0.49547,next_month
train,Knit Shorts #0002,black,shorts,knit,0.74656,0.629479,0.470049,0.615363,next_week
train,Cotton Accessories #0003,black,accessories,cotton,0.74656,0.794868,0.618498,0.719975,current
train,Silk Dress #0004,pink,dress,silk,0.735026,0.449073,0.923628,0.702576,current
train,Wool Skirt #0005,gray,skirt,wool,0.757458,0.790485,0.853809,0.800584,current
train,Cotton Pants #0006,white,pants,cotton,0.444991,0.884088,0.618498,0.649192,next_week
train,Linen Shoes #0007,blue,shoes,linen,0.822738,0.107436,0.369073,0.433082,next_month
train,Polyester Shorts #0008,beige,shorts,polyester,0.92806,0.629479,0.750545,0.769361,current
train,Leather Outerwear #0009,white,outerwear,leather,0.444991,0.549126,0.225175,0.406431,next_month
train,Polyester Shorts #0010,green,shorts,polyester,0.13476,0.629479,0.750545,0.504928,next_week
train,Knit Skirt #0011,black,skirt,knit,0.74656,0.790485,0.470049,0.669031,current
train,Linen Shoes #0012,beige,shoes,linen,0.92806,0.107436,0.369073,0.46819,six_months
train,Leather Skirt #0013,red,skirt,leather,0.677631,0.790485,0.225175,0.56443,next_week
train,Wool Tops #0014,purple,tops,wool,0.383718,0.254515,0.853809,0.497347,next_month
train,Wool Outerwear #0015,purple,outerwear,wool,0.383718,0.549126,0.853809,0.595551,next_week
train,Linen Accessories #0016,green,accessories,linen,0.13476,0.794868,0.369073,0.4329,next_month
train,Leather Pants #0017,pink,pants,leather,0.735026,0.884088,0.225175,0.614763,next_week
train,Polyester Shoes #0018,blue,shoes,polyester,0.822738,0.107436,0.750545,0.56024,next_week
train,Cotton Dress #0019,green,dress,cotton,0.13476,0.449073,0.618498,0.400777,next_month
train,Denim Shorts #0020,white,shorts,denim,0.444991,0.629479,0.732279,0.60225,next_week
train,Knit Skirt #0021,gray,skirt,knit,0.757458,0.790485,0.470049,0.672664,current
train,Polyester Outerwear #0022,green,outerwear,polyester,0.13476,0.549126,0.750545,0.478144,next_month
train,Polyester Pants #0023,brown,pants,polyester,0.455347,0.884088,0.750545,0.69666,current
train,Cotton Tops #0024,beige,tops,cotton,0.92806,0.254515,0.618498,0.600358,next_week
