feature_type,feature_value,current
color,black,0.05
color,white,0.05
color,blue,0.05
color,red,0.05
color,green,0.05
color,beige,0.05
color,pink,0.05
color,gray,0.05
color,navy,0.05
color,brown,0.05
color,purple,0.05
category,pants,0.05
category,shorts,0.05
category,skirt,0.05
category,dress,0.05
category,tops,0.05
category,outerwear,0.05
category,shoes,0.05
category,accessories,0.05
material,cotton,0.05
material,denim,0.05
material,linen,0.05
material,silk,0.05
material,wool,0.05
material,polyester,0.05
material,leather,0.05
material,knit,0.05
