feature_type,feature_value,current
color,black,0.5
color,white,0.385577
color,blue,1.0
color,red,0.196154
color,green,0.196154
color,beige,0.174038
color,pink,0.092308
color,gray,0.085577
color,navy,0.195192
color,brown,0.211538
color,purple,0.018269
category,pants,0.78481
category,shorts,0.088608
category,skirt,0.017722
category,dress,0.35443
category,tops,1.0
category,outerwear,0.331646
category,shoes,0.005063
category,accessories,0.010127
material,cotton,0.809091
material,denim,1.0
material,linen,0.325
material,silk,0.006818
material,wool,0.018182
material,polyester,0.127273
material,leather,0.015909
material,knit,0.063636
